	Valence	Arousal	Dominance
geld	     5.911	     5.562	     5.336
geldgier	     2.904	     6.192	     5.018
gelenk	     4.859	     4.430	     5.386
geliebte	     6.529	     4.616	     5.349
gemeinde	     5.592	     3.940	     5.482
gemetzel	     1.942	     6.868	     3.986
gemse	     5.655	     3.988	     5.377
gemüse	     7.019	     4.332	     5.636
general	     4.236	     4.930	     5.215
genie	     7.330	     4.217	     5.504
genosse	     5.377	     4.131	     5.657
gerede	     3.263	     5.638	     5.002
gericht	     4.138	     5.180	     5.062
geruch	     5.299	     4.515	     5.524
gesang	     7.107	     4.196	     5.611
geschenk	     7.669	     4.377	     5.604
geschrei	     2.707	     6.285	     4.671
gesetz	     4.616	     4.788	     5.299
gesicht	     6.567	     4.137	     5.432
gesindel	     3.289	     5.690	     5.061
gespräch	     6.691	     4.212	     5.486
gestank	     3.345	     5.513	     5.058
geste	     6.169	     3.898	     5.405
gewalt	     2.093	     6.938	     4.098
geweih	     5.417	     3.790	     5.725
gewicht	     5.005	     4.230	     5.536
gewinn	     7.305	     4.480	     5.701
gewissen	     5.128	     4.388	     5.162
gewitter	     5.367	     5.127	     4.714
ghetto	     2.631	     6.572	     4.424
giebel	     5.240	     3.888	     5.706
gift	     2.161	     6.957	     4.014
giftgas	     1.922	     6.975	     3.820
gigant	     5.067	     4.845	     5.055
giraffe	     7.215	     4.756	     5.740
girlande	     6.241	     3.994	     5.508
gitarre	     7.260	     4.714	     5.699
gitter	     4.115	     5.193	     5.036
glanz	     7.035	     4.097	     5.410
glas	     5.692	     4.165	     5.373
glaube	     6.122	     4.225	     5.296
globus	     5.469	     3.673	     5.653
glocke	     6.238	     4.019	     5.402
glück	     7.927	     4.590	     5.969
glut	     4.647	     5.850	     4.315
gnade	     7.013	     4.975	     5.352
gold	     7.152	     4.546	     5.732
gott	     6.528	     4.859	     5.327
grab	     1.920	     6.760	     3.748
granate	     2.478	     6.690	     4.490
gras	     7.170	     4.345	     5.496
grenze	     4.787	     4.462	     5.248
