Word	Valence	Arousal	Dominance
difunta	2.455899953842163	5.335700035095215	4.812699794769287
difusa	3.695199966430664	4.836900234222412	4.567800045013428
digerir	5.176599979400635	3.977099895477295	3.9709999561309814
digestión	5.72790002822876	4.160600185394287	4.098499774932861
digestivo	5.085299968719482	4.326399803161621	4.134799957275391
digital	5.661600112915039	4.413700103759766	4.372799873352051
dilación	4.387700080871582	4.331099987030029	4.113999843597412
dilatación	4.462900161743164	4.685200214385986	4.201099872589111
dilema	3.223900079727173	5.124199867248535	4.731800079345703
diligencia	4.743800163269043	4.531599998474121	4.21999979019165
diligente	4.106400012969971	5.411399841308594	4.952899932861328
diluviar	5.364999771118164	5.1265997886657715	4.661600112915039
diluvio	3.2527999877929688	5.525400161743164	5.053699970245361
dimensión	4.800000190734863	3.749300003051758	3.763200044631958
dimisión	3.5799999237060547	5.296500205993652	4.82919979095459
dimitir	3.370800018310547	4.298099994659424	4.0858001708984375
dinamismo	6.319699764251709	5.367700099945068	5.109300136566162
dinamita	2.7060000896453857	6.065299987792969	5.451399803161621
dinastía	3.6898000240325928	5.531099796295166	5.044600009918213
dinástica	3.882999897003174	4.956399917602539	4.531799793243408
dinosaurio	6.096399784088135	4.815199851989746	4.774600028991699
diocesano	3.7416000366210938	5.904300212860107	5.103499889373779
dióxido	4.425300121307373	4.7164998054504395	4.3796000480651855
diplomacia	4.942599773406982	4.936600208282471	4.604599952697754
diplomático	5.666100025177002	4.442299842834473	4.344699859619141
diptongo	4.659599781036377	3.890199899673462	3.8592000007629395
diputación	3.281599998474121	4.939899921417236	4.471799850463867
diputado	2.4505999088287354	5.775599956512451	4.9842000007629395
dique	5.124599933624268	4.257699966430664	4.189000129699707
diques	4.795300006866455	4.502299785614014	4.311200141906738
dirección	5.762899875640869	3.946899890899658	4.028800010681152
directiva	4.917399883270264	5.129000186920166	4.698299884796143
directivo	4.60890007019043	4.616300106048584	4.334799766540527
directo	6.116700172424316	5.201200008392334	5.001399993896484
directorio	4.972700119018555	3.847899913787842	3.8864998817443848
dirige	4.756499767303467	4.508699893951416	4.305699825286865
dirigencia	4.026100158691406	4.5644001960754395	4.295300006866455
dirigente	4.0157999992370605	5.5644001960754395	4.973499774932861
dirigir	5.442500114440918	5.646699905395508	5.200799942016602
discapacidad	2.6106998920440674	4.809800148010254	4.489799976348877
discernimiento	5.077700138092041	4.062099933624268	4.061299800872803
discernir	4.616399765014648	4.356400012969971	4.177499771118164
disciplina	5.063899993896484	5.172900199890137	4.84089994430542
disciplinario	4.423099994659424	5.481500148773193	5.0208001136779785
discípulo	4.61329984664917	4.463799953460693	4.187600135803223
discóbolo	6.042200088500977	4.9079999923706055	4.746300220489502
